,age,body_type,diet,drinks,drugs,education,essay0,essay1,essay2,essay3,essay4,essay5,essay6,essay7,essay8,essay9,ethnicity,height,income,job,last_online,location,offspring,orientation,pets,religion,sex,sign,smokes,speaks,status
13,47,athletic,anything,socially,never,graduated college university,indian guy next door looking love really friend call intelligent complex high energy romantic fool enemy dont know call dont keep touch much,engineer biofuels company loving ski much bike camp work day week salsa dance cook yes straight,skiing swimming table tennis ping pong cooking,hazel eye,book jonathan livingston seagull movie avatar music reggae salsa food sushi,kid sleep money health grape wine,one yet meet spicy tuna roll complex pinot great job fledgeling business,friend,addicted coca cola,want meet someone intelligence character high energy fun loving important emotionally available,indian,67,80000,science tech engineering,2012 06 28 21 48,menlo park california,kid,straight,like dog cat,christianity serious,,gemini rsquo fun think,,english fluently hindi fluently,single
25,40,curvy,mostly anything,socially,never,college university,fun loving woman christian mother state certified school bus instructor enjoy life go getter love fun laugh,opening new possibility main job train people become school bus driver,really good looking life different way working fit,first thing people notice abut energetic beautiful smile lovely eye,favorite book don one love read anything romantic favorite movie many favorite kind music old school amp hip hop favorite food anything cheese,six thing never without love lord kid family friend ability enjoy life rest will think,spend lot time thinking kid well spiritual walk lord savior jesus christ,going karaoke movie dancing,sensual person,going enjoy life looking someone date,black,67,40000,transportation,2012 06 29 18 36,menlo park california,kid,straight,like dog like cat,christianity serious,,aries rsquo fun think,yes,english fluently,single
39,25,average,anything,socially,never,graduated college university,free spirit heart amp adrenaline junkie serious time call live travel amp experience new thing mean expert say ve europe asia central america love go back italy visit australia amp new zealand next hiking outdoors scuba diving determined cross skydiving learning surf summer,currently pursuing degree optometry socal busy school love spending casual day beach museum trying yummy food going happiest place earth hometown bay love sf shivering fr cold,along pretty much everyone honestly never enemy life pretty good imitating accent come handy language think appreciate art music average person part come dabbled instrument snowboard pretty decently still working trick jump teach extra pt pretty fearless come almost much activity try,others say sweet amp friendly ll leave judge,honestly haven time read besides school arrested development modern family daily show nolan movie especially prestige memento shawshank redemption departed jj abrams incredibles never old disney simpson last movie saw avenger amp 21 jump street pretty awesome listen wide range music love michael buble sara barielles killer phoenix foster people christina perri naan keane future balearica one republic gym class rufus wainwright wanted hot chelle rae outasight mgmt fun vampire weekend feist kennedy train karmin colbie callat chromeo go forever sushi sushi sushi amp type fish general except catfish thai random experimental cooking amp anything fresh,family friend passport snowboard flip flop laptop,meaning life jk um food amp fun,chilling home movie grabbing food friend bar hopping,love sing loudly terribly glad usually confine shower car part,re fun well rounded passionate abt life genuine carry interesting conversation,asian,63,,student,2012 06 28 12 17,san francisco california,want kid,straight,like dog,agnosticism serious,,capricorn rsquo fun think,,english fluently chinese fluently spanish okay,single
59,24,fit,mostly anything,socially,never,graduated master program,don know exactly fill say cal surfer snowboarder guitar playing engineer bay area doesn really capture entire character say best way find talk person,graduate student studying civil engineering university california berkeley starting new job august moving sf lake merritt area spare time go explore cool area bay love living huge city various outdoor outlet,holding conversation playing sport good time,easy going great listener,book cold blood hunger game lord ring girl dragon tattoo sun rise great gatsby movie dark knight artist godfather airplane blue brother shawshank redemption music anything classic rock alternative rap basically anything country show community family guy league modern family food chinese italian,outdoor activity sport spontaneity movie good book family,fun people care isn life,hanging friend local bar exploring new place bay area,succumbed online dating,want anything spontaneous outdoors grab casual drink bite eat always use good conversation,white,73,,construction craftsmanship,2012 06 29 09 24,berkeley california,doesn rsquo kid,straight,dog,judaism serious,,taurus doesn rsquo matter,,english fluently spanish okay hebrew poorly,single
66,20,curvy,mostly anything,socially,never,working college university,well begin musician 13 year love read book politics science want travel world sort odd sense humor laugh silliest joke people call corny laugh disgusting thing blame grew two brother try offend people open anything enjoy listening older generation obsession 1900 era feel born time seriously want wear huge dress speak british accent whilst breaking social barricade much political conspiracy im one hippy blame everything system much aware fall propaganda true america im outdoorsy love biking hiking jogging playing sport,currently studying inorganic chemistry working nice little hotel front desk may sometimes check maybe even check,music english chemistry dancing,smile pretty much always smiling,book 1984 time butterfly pity movie king speech harry potter star war star trek lord ring show always sunny philadelphia office park recreation food italian,ipod guitar laptop backpack school book,posibilities,either reading book seeing live show local coffee shop biking around richmond spoke,honestly say im cryer emotion girl hey will look fear definitely make laughing never happened maybe thats considered crazy idk,goofy sense humor hooray,hispanic latin,68,20000,hospitality travel,2012 04 19 12 59,richmond california,doesn rsquo want kid,straight,dog dislike cat,agnosticism,,leo,,english fluently spanish fluently french poorly,single
93,29,average,mostly anything,socially,never,working college university,hello bryce believe wear gold inside probably different anybody rock climber adventurer haven jumped plane visited himalaya instead played hundred show musician various band pit orchestra various ensemble play drum might little bit foodie bartender groupie mostly music drum spent year actually making living playing drum professionally now job love amp still play group two grew sonoma county lived hollywood music school austin texas play music bartend moving emeryville back bay loving know next nothing emeryville though anyone want show secret spot interesting emeryville seem spend time oakland work video editor happy whoville esque grand lake area preparing footage trial application recently company started taking extravagant project outside legal field boosted enthusiasm pushed excel av business music loud amp vacuum wearing ear plug vegetarian love vegetable especially home grown family farmer market good lately hike trip around lake merritt biking non existent live artist co op bunch successful artist work may seen east bay beyond community area gifted photographer painter sculptor jewelry maker inspiring video editor musician guess fit right hmm really dog don yet borrow thinking bernese mountain dog even big golden retriever big german shepherd hope will place one soon infj mean anything yet sure even mean think mean shy weird pretty sure weird new normal nowadays pretty much matter outgoing think weird trying outgoing situation comfortable comfortable english major know better small group large social gathering prefer strong personal connection couple people even one one maybe fascination human condition dunno lastly love hate relationship comma amp punctuation general oh idea semicolon work,video editor drummer sometime bartender amazingly fortunate life minus fortune okay coming wonderful family great friend spending time,let see making list even though really procrastination doesn help music career le good actually always time early show rehearsal knowing material amp right gear job important sometimes wrong make mean margarita care one hardest cocktail ruin mine killer still remember cocktail summer bartender austin texas good pretending know happening football game cheering right time etc quietly sipping away ipa corner local sport bar standing around bar getting rather old rarely care win game great fixing bike riding nearly enough let ride somewhere seriously love meet someone ok car okay fine suv haul gear encourage ride bad ride work problem getting call rush law firm pick video editing moment transfer old home movie format dvd night video editing job producing edited deposition footage trial playback next day smile face,well somebody told meeting fat look profile thanks guess profile make look fat concise may may take point nice beard okc message lot okay don really beard anymore seriously used beard unsuccessfully hide fat face now working fat truth hurt sometimes,don care re widely read long living life trying live mine question overbroad ll try list couple thing reading last two book really kept night davinci code almost decade ago holy smoke civilization one book literally tried put go sleep one night couldn flip light back read usually prefer nonfiction lately trying dive whole game throne craze attempting read first book ve never read fantasy novel life sure writing thought going medieval historical fiction now dragon stuff dunno okay want list ve enjoyed kitchen confidential anthony bourdain now help ram da defense food omnivore dilemma botany desire michael pollan people history united state howard zinn hitchiker guide galaxy last chance see douglas adam wisdom insecurity trying read alan watt tao pooh etc benjamin hoff charming holographic universe michael talbot many selected translation thomas cleary will never understand book plan finish likely never will magic mountain thomas mann moby dick melville blink et al malcom gladwell stalking wild pedulum itzhak bentov reading time usually practice time spend lot time reading drum book watching drum dvd know big yawn people passion point started putting lesson plan together ll teaching drum eventually don want yet watching planet earth got favorite show david attenborough please hardly wait sherlock love game throne luckily picked least another season work video production place transferring editing home family movie deposition footage lawyer amp normal people try spend much time front tube home fact don cable don really want rather study drum dvd except really universal sport ironman race cycle race always want know going weather dramedy isn type camel list movie ve enjoyed bourne trilogy sucker good reluctant hero action flick god must crazy endless summer amp ii never ending story one favorite kid hearing listen lot music see going drum fun rehearsal education getting redundant sometimes nice listen easy folkish stuff drum relax think favorite band right now aloha much listen list stuff want drab enjoy everything odd time signature laden progressive pop aloha mew good ol fist pimping classic rock boston journey styx drumless folky americana bluegrass ray lamontagne deb talen wood bros sometimes mo def kind day know absolute ton music due year indian casino playing blue band covered everything king top played style blue motown country oldie rock roll classic rock rhythm amp blue ballad country waltz latin rock top 40 name play lately ve enjoying sweet slow jam silence tasting sushi get line favorite thing eat every day strangely primal elegant time ve really appreciating crisp simply dressed salad especially produce bought farmer market even better grandmother vegetable garden farmer market look amazing right now,never say never anything possible ll play along wait six thing besides essential mean essential mean thing obvious object key open thing don want others able open wallet buy stuff know phone connect people clothing keep warm decent dunno tooth brushing stuff various shaving showering utensil thank maybe even cooking implement seem rather good idea looky ve already gone way six thing amp material goodness realized needy person thanks okcupid family friend don want without back material thing say couldn without drum car gig amp rehearsal along sometimes bass player bass player gear ability play drum bass player well ummm love bed sooo cozy really hard make cold morning especially freezing loft don think well long period time without roof head definitely list near top hovering around cooking utensil sit got six,first last time everything life earth subjective two people thing will experience thing way seriously profile make look fat think good guy kinda shy okc thing make creeper don want spend lot time thinking gifted able perform people better musician better player course work torrent site strangling art spend lot time thinking think think think,probably gigging area friend ball relaxing crazy week gigging slowed lot last year gotta back asap,pretty much read summary re looking first go back middle sometimes ll start bottom page read box reverse order don know putting either guess don know put apparently lot dude say sorry realize run sentence fan lot makeup least makeup look re wearing ton makeup enough saying unless halloween case better wearing ton thing accept going 30 august 30 never going look brad pitt johnny depp hair never going neat,kind earth easy going ll respond informed profile say responds selectively total garbage ve responded almost everyone personally written maybe don respond automated message say thing human woman,white,67,,entertainment medium,2012 06 30 02 53,emeryville california,doesn rsquo kid,straight,like dog,agnosticism laughing,,leo rsquo fun think,,english,single
97,24,curvy,vegetarian,often,sometimes,graduated college university,will ruin bad mood,now compiling list thing make genuinely happy actively trying least three thing daily currently list includes dancing crowd using punctuation correct innovative way making mix tape yes mean cassette impress loving change world wearing apron heel bringing sexy back kitchen hitting tennis ball hard live music chatting politics diy costume making judge people based solely halloween ensemble walking faster reading title catch read cute boy attention skipping rock playing people dog amp child imagining society radically different swinging swing set,letting people talk drinking whiskey straight judging people based shoe hippy chicken don know will teach know challenged making people smile even tying really hard fellow muni rider know,volume ipod indiscriminate smile flower hair hand general attire,favorite book time couple day tony vigorito favorite include alchemist now art loving still life woodpecker revolution will funded ethical slut shock doctrine much happiness sucker modern political theory unfortunately fortunately required actively chose study lot undergrad music way making inexplicably happy better person music mediator frequently time machine make wanna sing dance shout cry kiss person next will probably dig,google map real real kindness happiness others lighter ingenuity ipod public transportation possibility revolution,next train home affect modern technology humanity whether ingredient cocktail fridge power people acting collectively run fuck city effectiveness list super power ask given opportunity incorporate diy day day miracle excuse wear costume awesome parent family friend gonna take house masseuse,hopefully freakin,sleep without something cuddle ve stuffed lamb chop puppet born keep company around,think make smile vi versa want pay walk dog,white,65,20000,political government,2012 06 29 18 45,san francisco california,doesn rsquo kid might want,straight,like dog,laughing,,leo,sometimes,english spanish okay,single
122,38,thin,mostly vegan,rarely,never,graduated college university,young woman beautiful nothing wrong think mutual physical attraction come first might well homosexual right now onto feature presentation born hong kong immigrated 17 parent mainland china speak language almost equally fluently cantonese english mandarin first got couldn speak english well wrote better classmate ha,mean living well programmer aka excel ninja sa guru etc fairly successful never laid sometimes wish might pick pencil maya become full time artist,drawing programming excel badminton simplifying complicated concept process etc teaching drawing first passion aspire full time comic manga artist day natural programming play badminton competitively enough tear acl college worked math tutor math lab year later ran someone tutored said didn understand professor explained stuff advanced calculus understood much went phd math boy flattered wouldn say really good snowboarding competent beginner probably look expert kayaking pool billiards,good look look better person picture tall asian look 28 don talk people quite put finger,book china study freakonomics think grow rich jack straight gut surely re joking mr feynman iwoz bike pursuit happyness da vinci code history life casanova mother tongue mythical man month china study compelled become healthy vegan movie crouching tiger hidden dragon incredibles walle titantic avatar abyss back future hitchhiker guide galaxy brokeback mountain lust caution laputa castle sky many see good preview movie feel sorry passed away one fantasy become animation director animation crouching tiger martial art genre music pop rock etc almost anything radio plus classical movie amp anime soundtrack despite origin select cantonese mandarin song food nothing adventurous,health sex people care others depend environment live people live among right now car smart phone book,girl programming badminton patent idea book reading listening people love driving strategy food necessity,friend bro mom,read people profile bottom sometimes flip book reverse order back day cd player liked see time remaining instead time elapsed oooooo didn realize coincidence,meet least following criterion re slim slim guy tall girl take pride honesty brutally thoughtfully honest especially come feeling especially vegan vegetarian casually strictly ve carnivore life switched green side month ago vegan health reason don freak food contains tiny amount meat animal product might even bite birthday cake made milk friend birthday re hot re short re tall re chinese japanese korean latina mix white alphabetical way re virgin silky hair hair naturally look wet weakness scrabble,asian,72,,computer hardware software,2012 06 25 17 47,burlingame california,doesn rsquo kid might want,straight,like dog cat,agnosticism serious,,virgo rsquo fun think,,english fluently chinese fluently,single
127,24,average,mostly anything,socially,never,graduated college university,work really hard constantly trying maintain healthy balance job ll typically work anywhere 50 60 hour week love adventure ve eastern europe completely fell love headed bruges london later next month hang closest friend super excited ridiculously excited learning new thing love learning much programming generally immersing tech enjoy smoking corncob pipe twice week many scarf wool cap know will make laugh love trying new thing hanging friend try live quiet thoughtful lifestyle,visual interaction designer san francisco end lot front end development well great combination everything super passionate really driven better craft new area sometimes startup world little overwhelming think getting hang thing,never giving,ve told nice smile pretty quiet guy first warm know people better,love dr firefly enjoy seinfeld curb enthusiasm dexter battlestar galactica lost archer portlandia flight conchords mad men movie anything wes anderson life aquatic favorite movie enjoy old czech film far book go don typically lot time reading enjoy michael chabon jess walter max brook name end reading lot technical instructive book design programming read lot longform article musicradiohead spoon wilco national arcade fire vetiver phoenix blitzen trapper might giant broken social scene cure daft punk david bazan empire sun foster people fleet fox gorillaz josh ritter ra ra riot ratatat weezer blue pinkerton childish gambino margot nuclear starlight mint whitest boy alive silverchair motion city soundtrack death cab cutieso many,close friend passport iphone live thing cold beer end ridiculous day sort pet probably cat maybe dog something sanity huge fan sane,meaning life job role world people mean really trying figure authentic self matter introspective person constant inner monologue sometimes drowns present spend lot time trying quiet thought simply present moment fight tendency analyze,probably chill pub drinking friend possibly seeing movie curling couch renting flick eating pizza big fan relaxing,love little dog,anything ve written mean something,white,72,60000,artistic musical writer,2012 06 29 08 48,san francisco california,doesn rsquo kid,straight,like dog like cat,somewhat serious,,sagittarius doesn rsquo matter,,english fluently czech poorly,single
131,30,average,mostly anything,socially,never,working college university,love play billiards pool always game love genre music rock jazz classical everything long interesting tune traveling one favorite thing china hong kong taiwan biggest trip will leaving china week temporary assignment nature science passion academy science sf missing go hike wilderness nothing better tranquil sound river bird chirping deer drinking water always say stop learning stop living firmly believe knowledge king money learning new thing new song guitar ride bike tie necktie love go journey shoot email thanks stumbling page lol btw kickball greatest sport,returned month trip china studying culture language exploring site working led bulb manufacturer learning benefit installed household playing kickball world adult kickball association waka,making people feel good actually give pleasure learning people learning outside appearance bonus inside,smart funny easy talk always kindhearted,favorite food everything something haven yet likely will try favorite music anything sound good rock rap hip hop jazz country classical everything favorite movie lord ring inception star war dark knight friend benefit crazy stupid love star sea transformer saving private ryan wall spirited away princess mononoke favorite book win friend influence people favorite tv show big bang theory game throne archer boardwalk empire voice nova road trip nation rick steves europe bizarre food,kickball food water family friend cell phone,next kickball game,bar friend drinking catching thing good time dance meet new people,going random adventure anywhere anytime day night,find intriguing like interested kickball,asian,64,,science tech engineering,2012 06 27 18 36,alameda california,doesn rsquo kid want,straight,dog like cat,agnosticism,,taurus rsquo fun think,,english fluently chinese fluently spanish poorly,single
